Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,PubMed ID,Language of Original Document,Document Type,Source,EID
"Zhu H., Lu Y., Wang X., Snieder H., Treiber F.A., Harshfield G.A., Dong Y.","The G protein-coupled receptor kinase 4 gene modulates stress-induced sodium excretion in black normotensive adolescents",2006,"Pediatric Research","60","4",,"440","442",,21,10.1203/01.pdr.0000238250.64591.44,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748896936&doi=10.1203%2f01.pdr.0000238250.64591.44&partnerID=40&md5=b926dd55ce9f045aab090f2e1549f1b0","Approximately 20-40% of adolescents have shown a reduction of urinary sodium excretion (UNaV) in response to blood pressure (BP) increase during behavioral stress. G protein-coupled receptor kinase 4 (GRK4) mediates the pressure and natriuresis relation. The present study investigated the impact of GRK4 genetic variants on UNaV under stress. A total of 664 normotensive adolescents including whites and blacks (17.6 ± 3.3 yrs, 43.4% blacks) were recruited. Participants were subjected to a stress-protocol including three 10-min tasks (a social competence interview, a virtual reality car driving simulation test, and a video game challenge), concluded by a urine collection. Three functional polymorphisms including R65L, A142V and A486V were genotyped. Given blacks compared with whites had significantly higher systolic BP (SBP) levels during rest (p < 0.001) and stress (p ≤ 0.001), there was no statistical difference in UNaV in response to stress between the two ethnic groups. In blacks, compared with R65R homozygotes, individuals with R65L or L65L genotype had significantly lower levels of stress-induced UNaV (8.42 ± 0.63 versus 9.85 ± 0.37 mEq/h, p = 0.01). In summary, BP elevation seems uncoupled with UNaV increase during behavioral stress in black adolescents. The 65L allele of the GRK4 gene is associated with stress-induced UNaV reduction, suggesting impaired sodium handling in affected black youth. Copyright © 2006 International Pediatric Research Foundation, Inc.",16940246,"English",Article,Scopus,2-s2.0-33748896936
"Pfeiffer K.A., Schmitz K.H., McMurray R.G., Treuth M.S., Murray D.M., Pate R.R.","Physical Activities in Adolescent Girls. Variability in Energy Expenditure",2006,"American Journal of Preventive Medicine","31","4",,"328","331",,16,10.1016/j.amepre.2006.06.002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748448243&doi=10.1016%2fj.amepre.2006.06.002&partnerID=40&md5=b207f3d36229537e0f8299f9335325fc","Background: Understanding interindividual variability of energy expended in common activities is important for determining precise estimates of energy expenditure in surveillance studies and clinical trials. The purpose of this study was to describe the variability in energy expenditure for selected physical activities among adolescent girls. Methods: Seventy-four adolescent girls (aged 13 to 14 years) participated in this cross-sectional investigation. Data were collected in 2001 and analyzed in 2004. Energy expenditure was measured by indirect calorimetry for ten activities and during a submaximal cycle ergometer test, which was used to estimate cardiorespiratory fitness. Variability in energy expended for the various activities was expressed by standard deviation, coefficient of variation, and range for three different energy expenditure variables: relative VO2 (milliliters per kilogram per minute), absolute VO2 (liters per minute-1), and calculated metabolic rate (kilojoules per minute). Results: Depending on the expression of energy expenditure, coefficients of variation ranged from a low of 13.2% for climbing stairs to a high of 38.4% for playing a computer game. Some lower-intensity activities were associated with greater variability in energy expenditure. Bicycling showed consistently higher coefficients of variation across expressions of energy expenditure (29.1%, 37.7%, and 33.5% for relative VO2, absolute VO2, and calculated metabolic rate, respectively). Conclusions: Energy expenditure for common activities is highly variable in adolescent girls. The coefficient of variation was higher in some activities of lower intensity, regardless of energy expenditure expression. This variance may influence the evaluation of physical activity interventions, particularly with regard to issues such as a prescribed dose of activity and the statistical power to detect change. © 2006 American Journal of Preventive Medicine.",16979458,"English",Article,Scopus,2-s2.0-33748448243
"O'Brien C.S., Waddell R.B., Rosenstock S.S., Rabe M.J.","Wildlife use of water catchments in southwestern Arizona",2006,"Wildlife Society Bulletin","34","3",,"582","591",,31,10.2193/0091-7648(2006)34[582:WUOWCI]2.0.CO;2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751206532&doi=10.2193%2f0091-7648%282006%2934%5b582%3aWUOWCI%5d2.0.CO%3b2&partnerID=40&md5=409bec0b0ce5cbad085663c9e53a6d16","Construction of water developments has been used as a wildlife-habitat improvement technique in desert environments since the 1940s. Use of water developments by wildlife has been described in anecdotal observations, through water-hole counts, and with triggered still-cameras, but few studies have directly quantified wildlife use. We used video surveillance equipment to document wildlife use of 3 water catchments located in the Sonoran Desert, southwestern Arizona, USA, from June 2000 to November 2003. For each visitation, we recorded time of day, season of use, and activities engaged in, and we correlated visits with temperature and relative humidity. We logged 37,989 observation hours and documented 34 species using the water catchments. Most of the species recorded visited water catchments year-round with use peaking during June and July. The number of visits by nongame species (i.e., bats, raptors, mammalian predators, and rodents) exceeded the number of visits by game species (mule deer [Odocoileus hemionus], doves [Zenaida spp.], and Gambel's quail [Callipepia gambelii]). Visitation frequency for turkey vultures (Cathartes aura), owls, diurnal raptors, mule deer, coyotes (Canis latrans), and other mammalian predators increased with temperature. Most visits culminated in the animal drinking water. Other activities recorded were bathing, consumption of plant material and carrion, and intraspecies and interspecies interactions. We recorded 8 predation attempts: 4 by avian predators and 4 by bobcats (Lynx rufus). Although we documented that a number of species frequented water catchments, our observations do not prove need. However, we believe our observations do provide support for constructing water catchments that can accommodate a wide diversity of species.",,"English",Article,Scopus,2-s2.0-33751206532
"Ohigashi Y., Omori T.","Modeling of autonomous problem solving process by dynamic construction of task models in multiple tasks environment",2006,"Neural Networks","19","8",,"1169","1180",,,10.1016/j.neunet.2006.05.037,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749057243&doi=10.1016%2fj.neunet.2006.05.037&partnerID=40&md5=5a777e3b22c8663bbb99a4b5b2b06e3d","Traditional reinforcement learning (RL) supposes a complex but single task to be solved. When a RL agent faces a task similar to a learned one, the agent must relearn the task from the beginning because it doesn't reuse the past learned results. This is the problem of quick action learning, which is the foundation of decision making in the real world. In this paper, we suppose agents that can solve a set of tasks similar to each other in a multiple tasks environment, where we encounter various problems one after another, and propose a technique of action learning that can quickly solve similar tasks by reusing previously learned knowledge. In our method, a model-based RL uses a task model constructed by combining primitive local predictors for predicting task and environmental dynamics. To evaluate the proposed method, we performed a computer simulation using a simple ping-pong game with variations. © 2006 Elsevier Ltd. All rights reserved.",16989982,"English",Article,Scopus,2-s2.0-33749057243
"Liu X.-H., Liang X.-B., Wang N.-J.","Emergence of trend trading and its effects in minority game",2006,"Physica A: Statistical Mechanics and its Applications","369","2",,"771","779",,3,10.1016/j.physa.2006.01.089,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745713270&doi=10.1016%2fj.physa.2006.01.089&partnerID=40&md5=bba2fc8f0fcfbd4c068d94be96078b0c","In this paper, we extended Minority Game (MG) by equipping agents with both value and trend strategies. In the new model, agents (we call them strong-adaptation agents) can autonomically select to act as trend trader or value trader when they game and learn in system. So the new model not only can reproduce stylized factors but also has the potential to investigate into the process of some problems of securities market. We investigated the dynamics of trend trading and its impacts on securities market based on the new model. Our research found that trend trading is inevitable when strong-adaptation agents make decisions by inductive reasoning. Trend trading (of strong-adaptation agents) is not irrational behavior but shows agent's strong-adaptation intelligence, because strong-adaptation agents can take advantage of the pure value agents when they game together in hybrid system. We also found that strong-adaptation agents do better in real environment. The results of our research are different with those of behavior finance researches. © 2006 Elsevier B.V. All rights reserved.",,"English",Article,Scopus,2-s2.0-33745713270
"Prendinger H., Becker C., Ishizuka M.","A study in users' physiological response to an empathic interface agent",2006,"International Journal of Humanoid Robotics","3","3",,"371","391",,28,10.1142/S0219843606000801,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750220974&doi=10.1142%2fS0219843606000801&partnerID=40&md5=58c7d99b92956608a2f46b2a1596a282","This paper presents a novel method for evaluating the impact of animated interface agents with affective and empathic behavior. While previous studies relied on questionnaires in order to assess the user's overall experience with the interface agent, we will analyze users' physiological response (skin conductance and electromyography), which allows us to estimate affect-related user experiences on a moment-by-moment basis without interfering with the primary interaction task. As an interaction scenario, a card game has been implemented where the user plays against a virtual opponent. The findings of our study indicate that within a competitive gaming scenario, (i) the absence of the agent's display of negative emotions is conceived as arousing or stress-inducing, and (ii) the valence of users' emotional response is congruent with the valence of the emotion expressed by the agent. Our results for skin conductance could also be reproduced by assuming a local rather than a global baseline. © 2006 World Scientific Publishing Company.",,"English",Article,Scopus,2-s2.0-33750220974
"Goodie J.L., Larkin K.T.","Transfer of heart rate feedback training to reduce heart rate response to laboratory tasks",2006,"Applied Psychophysiology Biofeedback","31","3",,"227","242",,4,10.1007/s10484-006-9011-9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750355723&doi=10.1007%2fs10484-006-9011-9&partnerID=40&md5=d0644b58eb12f06fa1cbf0cf9e3977d3","To examine whether transfer of heart rate (HR) feedback training to tasks not used during training could be improved by using multiple tasks during training, a modified multiple baseline across tasks, single subject design study was conducted using six high HR-reactive young adults. Participants received HR feedback training during the presentation of a videogame, and transfer of training was assessed to a mental arithmetic challenge and handgrip task. Transfer of training was next assessed following training with the mental arithmetic challenge and handgrip task. HR responses to each training task with no HR feedback were assessed during a pre-treatment session, an immediate post-training period following training on each task, a short delay (1-2 days) post-training session, and a long delay (1-2 weeks) post-training session. HR response to a novel speech task was assessed at pre-treatment and during short delay and long delay post-training sessions. Results revealed that participants reduced HR during training and generally maintained this reduction in HR during the immediate post-training assessment when HR feedback was not present. Participants were not able to reduce HR responses to tasks during short delay and long delay post-training sessions, and they were unable to transfer HR reduction skills to the speech task. Transfer of HR feedback training to new tasks was limited in nature and efforts to train across multiple stressors did not appear to improve transfer of training. © 2006 Springer Science+Business Media, Inc.",16906468,"English",Article,Scopus,2-s2.0-33750355723
"Yilmaz L., Ören T., Aghaee N.-G.","Intelligent agents, simulation, and gaming",2006,"Simulation and Gaming","37","3",,"339","349",,23,10.1177/1046878106289089,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746847022&doi=10.1177%2f1046878106289089&partnerID=40&md5=0f5908e78229268ddfc2bf4213ff8ccc","Artificial intelligence and intelligent agents are sources of synergy for simulation and computer-based games. They support striking realism of the physical environment and provide unique opportunities for learning and complex operations. This article's purpose is to explore the relationship of software agents to simulation and games. This includes agents with advanced cognitive abilities (introspection, perception, anticipation, and understanding) as well as those representing personality, emotion, and cultural aspects of individuals and societies including issues. A recent special issue of Simulation: Transactions of the Society for Modeling and Simulation International on agent-directed simulation (ADS) is introduced. As a prelude to its presentation, the promising synergy of artificial intelligence, simulation, and gaming is elaborated on. A unifying paradigm for the synergy of agents and simulation and gaming - namely, ADS - is presented. It includes agent simulation, agent-supported simulation, and agent-based simulation. Also, two different usages of the term agent-based simulation are clarified. © 2006 Sage Publications.",,"English",Article,Scopus,2-s2.0-33746847022
"Hinson J.M., Whitney P., Holben H., Wirick A.K.","Affective biasing of choices in gambling task decision making",2006,"Cognitive, Affective and Behavioral Neuroscience","6","3",,"190","200",,15,10.3758/CABN.6.3.190,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845953858&doi=10.3758%2fCABN.6.3.190&partnerID=40&md5=bb3250f2ebfb15082ab6b1bbee98df8c","The proponents of the somatic marker hypothesis presume that rational decision making is guided by emotional reactions that are developed from prior experience. Supporting evidence for the hypothesis comes almost exclusively from the short-term affective reactions that are learned during the course of a hypothetical decision-making task-the gambling task (GT). We examined GT performance and affective reactions to choices when those choices were biased by words that had preexisting affective value. In one experiment, affectively valued words directly signaled good and bad choices. A congruent relation between affective value of word and choice outcome improved GT performance, whereas an incongruent relation greatly interfered with performance. In another experiment, affectively valued words were maintained as a working memory (WM) load between GT choices. A WM load with affectively positive words somewhat improved GT performance, whereas affectively negative words interfered with performance. Somatic markers-indicated by differential anticipatory skin conductance response (SCR) amplitude for good and bad choices-appeared at a point in the GT session when choice performance was superior. However, differential SCR developed during the session after good choice performance was already established. These results indicate that preexisting affective biases can influence GT decision making. In addition, the somatic markers that are regular accompaniments of GT decision making appeared to be temporally lagging indicators of choice performance. Copyright 2006 Psychonomic Society, Inc.",17243355,"English",Article,Scopus,2-s2.0-33845953858
"Van Laere J., De Vreede G.J., Sol H.G.","A social simulation-game to explore future co-ordination in knowledge networks at the Amsterdam Police Force",2006,"Production Planning and Control","17","6",,"558","568",,4,10.1080/09537280600866611,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749547662&doi=10.1080%2f09537280600866611&partnerID=40&md5=688e699ac958e3e5589e7fc22880bc04","The 32 autonomous neighbourhood teams of the Amsterdam Police Force need to utilise each other's knowledge and expertise to deal with the variety and complexity of their daily work assignments. However, despite the creation of organisation wide knowledge networks, communication, co-ordination and knowledge sharing between the neighbourhood teams is disappointing. We conducted an action research to investigate how co-ordination in the knowledge networks could be improved with the help of information and communication technologies (ICTs). This article reflects on the choice of co-ordination perspectives and modelling techniques. The above problem is conceptualised and made operational in different ways in research on network co-ordination, knowledge co-ordination and co-ordination of distributed work. The article demonstrates how our initial focus on capturing quantitative measures of the co-ordination problem in a computer simulation was problematic in this case. Instead a social simulation-game that focused on the qualitative issues of this co-ordination problem was developed and played. We conclude that the choice of theoretical perspectives and modelling techniques strongly affected the results of both phases of our action research. Furthermore the article argues that more attention to qualitative issues in co-ordination is required to better understand the impact of ICT-support on co-ordination.",,"English",Article,Scopus,2-s2.0-33749547662
"Alexandru G., Michikazu S., Shimako H., Xiaoli C., Hitomi K., Takashi Y., Robert W.W., Sadanobu K.","Epidemiological aspects of self-reported sleep onset latency in Japanese junior high school children",2006,"Journal of Sleep Research","15","3",,"266","275",,31,10.1111/j.1365-2869.2006.00530.x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33747072646&doi=10.1111%2fj.1365-2869.2006.00530.x&partnerID=40&md5=51c7095f1e67ccb1a132018086b5aa4d","The purpose of this study was to investigate the relationships between sleep onset latency (SOL) and other sleep-wake patterns and media use habits in Japanese schoolchildren. A total of 9718 junior high school children responded (12.8 years) and 9199 questionnaires were used in the present analyses. The questionnaire assessed sleep-wake patterns, TV viewing and videogame habits. Overall, 72.1% of the subjects reported short SOL (≤20 min). Long SOL subjects (>20 min) were strongly associated with disturbed sleep manifested especially by increased risk of night awakenings, decreased sleep depth, and bad sleep in general (overall sleep quality). Prolonged SOL was also associated with daytime sleepiness, difficulties in falling asleep, bad morning feeling and sleep insufficiency. We found a U-shaped relationship between sleep period and SOL. Increase in bedtime was accompanied by increased risk of prolonged SOL. The impact of ultra-short and ultra-long SOL (≤5 and ≥40 min) was also analysed. Long durations of watching television and playing videogame were significantly associated with prolonged SOL. After adjustment for sex, girls presented significantly higher risk of prolonged SOL. Body mass index adjustment did not reveal any significant results. SOL presents a significant component of sleep-wake habits; poor sleep hygiene and insufficient sleep time significantly increase SOL. Parents, healthcare practitioners and children themselves should be aware of the potentially negative influence of prolonged SOL. Additionally, the optimal coherent sleep-wake schedule must be promoted in parallel with the limitation on the viewing TV and game practices. © 2006 European Sleep Research Society.",16911029,"English",Article,Scopus,2-s2.0-33747072646
"Liu K., Feng Y.","Issues in automated negotiation: Protocol and ontology",2006,"Journal of Southeast University (English Edition)","22","3",,"430","434",,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845373159&partnerID=40&md5=ec28a383cb9e65849d25f7796374cced","In the environment of e-commerce, agents in automated negotiation should share common concept of what they are bargaining and a rule of how to bargain. State of the art overviews of automated negotiation is given. The main barriers to automated negotiation such as protocol and ontology are discussed. Then, a model of automated negotiation is presented with the ontologies of roles and goods described by web ontology language (OWL), the proposal strategies based on the information sets, and a set of rules for agent interaction. In this model, agents coming from different organizations can negotiate automatically based on common ontologies defined by OWL and formal protocol. This makes it possible for the automated negotiation to be performed in an open environment such as Internet, not merely in a closed system.",,"English",Article,Scopus,2-s2.0-33845373159
[No author name available],"Video games aren't so bad.",2006,"Harvard health letter / from Harvard Medical School.","31","10",,"7","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33747490740&partnerID=40&md5=4a0623cd955f8a9acca7e79a33b50eb9",[No abstract available],16927462,"English",Article,Scopus,2-s2.0-33747490740
"Vig L., Adams J.A.","Multi-robot coalition formation",2006,"IEEE Transactions on Robotics","22","4",,"637","649",,157,10.1109/TRO.2006.878948,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33747588076&doi=10.1109%2fTRO.2006.878948&partnerID=40&md5=a956cd13c3ded49480e37b8c83fa4057","As the community strives towards autonomous multi-robot systems, there is a need for these systems to autonomously form coalitions to complete assigned missions. Numerous coalition formation algorithms have been proposed in the software agent literature. Algorithms exist that form agent coalitions in both super additive and non-super additive environments. The algorithmic techniques vary from negotiation-based protocols in multi-agent system (MAS) environments to those based on computation in distributed problem solving (DPS) environments. Coalition formation behaviors have also been discussed in relation to game theory. Despite the plethora of MAS coalition formation literature, to the best of our knowledge none of the proposed algorithms have been demonstrated with an actual multi-robot system. There exists a discrepancy between the multi-agent algorithms and their applicability to the multi-robot domain. This paper aims to bridge that discrepancy by unearthing the issues that arise while attempting to tailor these algorithms to the multi-robot domain. A well-known multi-agent coalition formation algorithm has been studied in order to identify the necessary modifications to facilitate its application to the multi-robot domain. This paper reports multi-robot coalition formation results based upon simulation and actual robot experiments. A multi-agent coalition formation algorithm has been demonstrated on an actual robot system. © 2006 IEEE.",,"English",Article,Scopus,2-s2.0-33747588076
"Arriaga P., Esteves F., Carneiro P., Monteiro M.B.","Violent computer games and their effects on state hostility and physiological arousal",2006,"Aggressive Behavior","32","4",,"358","371",,23,10.1002/ab.20134,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746152458&doi=10.1002%2fab.20134&partnerID=40&md5=1a8385d29dbc5c5d9f79d25061428be7","An experimental study was conducted to investigate the impact of violent computer games on state hostility, state anxiety and arousal. Participants were undergraduate students, aged from 18 to 25 years old. Before the experimental sessions, participants filled in self-report measures concerning their video game habits and were also pre-tested for aggressiveness and trait anxiety. Physiological responses (heart rate and skin conductance) were measured during the experiment. After playing, information about state hostility and state anxiety was collected. The results showed that participants who played the violent game reported significantly higher state hostility and support the assumption that an aggressive personality moderates the effect of playing a violent game on state hostility. © 2006 Wiley-Liss, Inc.",,"English",Article,Scopus,2-s2.0-33746152458
"Naghibi-Sistani M.B., Akbarzadeh-Tootoonchi M.R., Javidi-Dashte Bayaz M.H., Rajabi-Mashhadi H.","Application of Q-learning with temperature variation for bidding strategies in market based power systems",2006,"Energy Conversion and Management","47","11-12",,"1529","1538",,17,10.1016/j.enconman.2005.08.012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644863031&doi=10.1016%2fj.enconman.2005.08.012&partnerID=40&md5=94baedd19a4e260d10fbf74b9b857366","The electric power industry is confronted with restructuring in which the operation scheduling is going to be decided based on a competitive market. In this new arrangement, bidding strategy has become a major issue. Participants in this deregulated energy market place may be able to compete better by choosing a suitable bidding strategy for trading electricity. Different classical methods for decision making in the uncertain environment of the market can be applied to select a suitable strategy. Most of these methods, such as game theory, that insure reaching the best solution for all market participants, require a lot of information about the other market players and the market. However, in the real market place only a little information, such as the spot price, is available for all participants. In this paper, a modified reinforcement learning based on temperature variation has been first proposed and then applied to determine the optimal strategy for a power supplier in the electricity market. A Pool-Co model has been considered here, and the simulation results are shown to be the same as those of standard game theory. Adaptation of the method in the presence of parameter variation has been verified as well. The main advantage of the proposed method is that no information about other participants is required. Furthermore, our investigation shows that even if all participants use this method, they will stay in Nash equilibrium. © 2005 Elsevier Ltd. All rights reserved.",,"English",Article,Scopus,2-s2.0-33644863031
"Weinstein S.E., Quigley K.S.","Locus of control predicts appraisals and cardiovascular reactivity to a novel active coping task",2006,"Journal of Personality","74","3",,"911","931",,9,10.1111/j.1467-6494.2006.00396.x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646548256&doi=10.1111%2fj.1467-6494.2006.00396.x&partnerID=40&md5=a9143e4c3076c8e65e2b54d89de6013c","These two studies investigated the influence of dispositional locus of control (LOC) on subjective and physiological responses to a novel laboratory stressor task. Across two studies, 64 healthy undergraduate students, ages 18-22, completed Levenson's (LOC) scales for internal, powerful others, and chance prior to performing a video-game task. Participants rated pretask and posttask stressfulness and coping ability (i.e., measures of primary and secondary appraisal). Cardiovascular measures (heart period, HP; preejection period, PEP; respiratory sinus arrhythmia, RSA; cardiac output, CO; systolic blood pressure, SBP; diastolic blood pressure, DBP & total peripheral resistance, TPR) were recorded during 4-minute baseline and 4-minute stressor task periods. The internal LOC factor predicted pretask reports of coping ability as well as posttask reports of stressfulness. In contrast, the powerful-others LOC factor predicted cardiac changes (HP, PEP, and RSA) during the task but not cardiac output or any other vascular change measure. These results underscore the importance of using the three subscales of the Levenson LOC to assess relationships between dispositional LOC and the response to stressors because self-reported appraisals of a task are predicted by a different component of dispositional LOC than are task-related cardiovascular functions. © 2006, Blackwell Publishing, Inc.",16684257,"English",Article,Scopus,2-s2.0-33646548256
"Chumbley J., Griffiths M.","Affect and the computer game player: The effect of gender, personality, and game reinforcement structure on affective responses to computer game-play",2006,"Cyberpsychology and Behavior","9","3",,"308","316",,78,10.1089/cpb.2006.9.308,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745600416&doi=10.1089%2fcpb.2006.9.308&partnerID=40&md5=2f15a28f4bd22e50ad2e26ba3e9d043a","Previous research on computer games has tended to concentrate on their more negative effects (e.g., addiction, increased aggression). This study departs from the traditional clinical and social learning explanations for these behavioral phenomena and examines the effect of personality, in-game reinforcement characteristics, gender, and skill on the emotional state of the game-player. Results demonstrated that in-game reinforcement characteristics and skill significantly effect a number of affective measures (most notably excitement and frustration). The implications of the impact of game-play on affect are discussed with reference to the concepts of ""addiction"" and ""aggression."" © Mary Ann Liebert, Inc.",16780398,"English",Article,Scopus,2-s2.0-33745600416
"Gou C.-L.","Dynamic behaviours of mix-game model and its application",2006,"Chinese Physics","15","6", 018,"1239","1247",,8,10.1088/1009-1963/15/6/018,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745687625&doi=10.1088%2f1009-1963%2f15%2f6%2f018&partnerID=40&md5=92e0a908eb55be67275a96f8dc91fc14","In this paper a minority game (MG) is modified by adding into it some agents who play a majority game. Such a game is referred to as a mix-game. The highlight of this model is that the two groups of agents in the mix-game have different bounded abilities to deal with historical information and to count their own performance. Through simulations, it is found that the local volatilities change a lot by adding some agents who play the majority game into the MG and the change of local volatilities greatly depends on different combinations of historical memories of the two groups. Furthermore, the analyses of the underlying mechanisms for this finding are made. The applications of mix-game mode are also given as an example. © 2006 Chin. Phys. Soc. and IOP Publishing Ltd.",,"English",Article,Scopus,2-s2.0-33745687625
"Keinan A., Sandbank B., Hilgetag C.C., Meilijson I., Ruppin E.","Axiomatic scalable neurocontroller analysis via the Shapley value",2006,"Artificial Life","12","3",,"333","352",,26,10.1162/artl.2006.12.3.333,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746810457&doi=10.1162%2fartl.2006.12.3.333&partnerID=40&md5=9db7598a477d88c63d507bb177e1b729","One of the major challenges in the field of neurally driven evolved autonomous agents is deciphering the neural mechanisms underlying their behavior. Aiming at this goal, we have developed the multi-perturbation Shapley value analysis (MSA) - the first axiomatic and rigorous method for deducing causal function localization from multiple-perturbation data, substantially improving on earlier approaches. Based on fundamental concepts from game theory, the MSA provides a formal way of defining and quantifying the contributions of network elements, as well as the functional interactions between them. The previously presented versions of the MSA require full knowledge (or at least an approximation) of the network's performance under all possible multiple perturbations, limiting their applicability to systems with a small number of elements. This article focuses on presenting new scalable MSA variants, allowing for the analysis of large complex networks in an efficient manner, including large-scale neurocontrollers. The successful operation of the MSA along with the new variants is demonstrated in the analysis of several neurocontrollers solving a food foraging task, consisting of up to 100 neural elements. ©2006 Massachusetts Institute of Technology.",16859444,"English",Article,Scopus,2-s2.0-33746810457
"Kirsh S.J., Mounts J.R.W., Olczak P.V.","Violent media consumption and the recognition of dynamic facial expressions",2006,"Journal of Interpersonal Violence","21","5",,"571","584",,14,10.1177/0886260506286840,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645507269&doi=10.1177%2f0886260506286840&partnerID=40&md5=9ca1d9a714bdd00a971f9da6b51fb13f","This study assessed the speed of recognition of facial emotional expressions (happy and angry) as a function of violent media consumption. Color photos of calm facial expressions morphed to either an angry or a happy facial expression. Participants were asked to make a speeded identification of the emotion (happiness or anger) during the morph. Results indicated that, independent of trait aggressiveness, participants high in violent media consumption responded slower to depictions of happiness and faster to depictions of anger than participants low in violent media consumption. Implications of these findings are discussed with respect to current models of aggressive behavior. © 2006 Sage Publications.",16574633,"English",Article,Scopus,2-s2.0-33645507269
"Urrutia-Rojas X., Menchaca J.","Prevalence of risk for type 2 diabetes in school children",2006,"Journal of School Health","76","5",,"189","194",,16,10.1111/j.1746-1561.2006.00093.x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645942772&doi=10.1111%2fj.1746-1561.2006.00093.x&partnerID=40&md5=442660dcdb81a58a40398110ff636142","According to the Centers for Disease Control and Prevention, 1 in 3 children born in 2000 in the United States will become diabetic. The odds are higher for African American and Hispanic children as nearly 50% of them will develop diabetes. Random screening is not effective in identifying children at risk for type 2 diabetes mellitus (T2DM); therefore, there is a need to apply screening strategies that guide the development of appropriate primary prevention efforts. To assess the prevalence of risk factors for T2DM, 1066 fifth-grade children were screened using American Diabetes Association guidelines. Overall, 22.6% were found at risk; African American and Hispanic children were almost 8 times more likely to be at risk when compared to Caucasians (odds ratio = 7.41 and 7.87). Children who reported watching TV/playing video games 2 or more hours/day were 73% more likely to be at risk. Children identified to be at risk were referred to their primary care provider and were invited to participate in a counseling session. The environmental risk factors for T2DM identified in this study are modifiable and should be targeted in preventive interventions at the school and community level to reduce overweight and consequently prevent T2DM in children, especially among minority children. © 2006, American School Health Association.",16635203,"English",Article,Scopus,2-s2.0-33645942772
